,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BCLASS,ADDRESS,APT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,CONDOLOT
85,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,373,7501,,R4,324 EAST 4TH   STREET                    ,2A,10009,1,0,1,0,0,1920,2,R4,1395796,2016-07-28,1002
86,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,373,7501,,R4,324 EAST 4TH   STREET                    ,6B,10009,1,0,1,0,0,1920,2,R4,792812,2016-07-28,1010
87,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,375,7501,,R4,754 EAST 6TH   STREET                    ,5A,10009,1,0,1,0,0,0,2,R4,975000,2015-08-14,1017
88,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,375,7501,,R4,754 EAST 6TH   STREET                    ,6B,10009,1,0,1,0,0,0,2,R4,840000,2015-12-30,1023
89,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,384,7503,,R4,310 EAST HOUSTON STREET                  ,PHF,10002,1,0,1,0,0,2005,2,R4,0,2016-04-25,1224
90,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,5B,10009,1,0,1,0,0,1928,2,R4,1750000,2016-03-14,1019
91,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,14E,10009,1,0,1,0,0,1928,2,R4,0,2016-04-30,1075
92,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,14E,10009,1,0,1,0,0,1928,2,R4,931000,2015-12-23,1075
93,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,PHB,10009,1,0,1,0,0,1928,2,R4,0,2016-04-30,1085
94,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,PHB,10009,1,0,1,0,0,1928,2,R4,2180000,2015-09-15,1085
95,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,PHC,10009,1,0,1,0,0,1928,2,R4,0,2016-04-30,1086
96,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7501,,R4,143 AVENUE B                             ,PHC,10009,1,0,1,0,0,1928,2,R4,0,2015-09-15,1086
97,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,392,7502,,R4,631 EAST 9TH   STREET                    ,5B,10009,1,0,1,0,0,2005,2,R4,1450000,2016-03-15,1122
98,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,394,0,,R4,189 AVENUE C                             ,2A,10009,1,0,1,0,0,1910,2,R4,549855,2016-04-27,1503
99,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,394,0,,R4,189 AVENUE C                             ,2B,10009,1,0,1,0,0,1910,2,R4,830000,2016-04-22,1504
100,1,ALPHABET CITY            ,13  CONDOS - ELEVATOR APARTMENTS            ,2,394,0,,R4,189 AVENUE C                             ,2C,10009,1,0,1,0,0,1910,2,R4,681159,2016-05-13,1505
