,block,hilot,lolot,billlot
14,4,1052,1001,7501.0
15,4,7501,7501,7501.0
17,5,1007,1001,7501.0
18,5,7501,7501,7501.0
29,7,1002,1001,7501.0
30,7,1102,1101,7502.0
31,7,7501,7501,7501.0
32,7,7502,7502,7502.0
36,8,1002,1001,7501.0
37,8,7501,7501,7501.0
62,11,1002,1001,7501.0
63,11,7501,7501,7501.0
70,15,1004,1001,7501.0
71,15,1381,1101,7502.0
72,15,7501,7501,7501.0
73,15,7502,7502,7502.0
99,16,1220,1001,7501.0
100,16,1240,1222,7501.0
101,16,1302,1301,7512.0
102,16,1635,1401,7514.0
103,16,1929,1701,7517.0
104,16,1935,1931,7517.0
105,16,1953,1937,7517.0
106,16,2135,2001,7502.0
107,16,2309,2200,7503.0
108,16,2510,2401,7504.0
109,16,2848,2601,7505.0
110,16,3122,3001,7506.0
111,16,3277,3201,7515.0
112,16,3509,3279,7515.0
113,16,3741,3602,7516.0
114,16,3808,3743,7516.0
115,16,3813,3811,7516.0
116,16,3817,3815,7516.0
117,16,3822,3819,7516.0
118,16,3830,3824,7516.0
119,16,3833,3833,7516.0
120,16,3839,3835,7516.0
121,16,3841,3841,7516.0
122,16,3844,3843,7516.0
123,16,3855,3846,7516.0
124,16,3866,3857,7516.0
125,16,4154,4001,7507.0
126,16,4203,4201,7519.0
127,16,4492,4301,7521.0
128,16,4603,4601,7520.0
129,16,5548,5001,7508.0
130,16,5776,5601,7518.0
131,16,6184,6001,7509.0
132,16,7303,7001,7510.0
133,16,7501,7501,7501.0
134,16,7502,7502,7502.0
135,16,7503,7503,7503.0
136,16,7504,7504,7504.0
137,16,7505,7505,7505.0
138,16,7506,7506,7506.0
139,16,7507,7507,7507.0
140,16,7508,7508,7508.0
141,16,7509,7509,7509.0
142,16,7510,7510,7510.0
143,16,7511,7511,7511.0
144,16,7512,7512,7512.0
145,16,7513,7513,7513.0
146,16,7514,7514,7514.0
147,16,7515,7515,7515.0
148,16,7516,7516,7516.0
149,16,7517,7517,7517.0
150,16,7518,7518,7518.0
151,16,7519,7519,7519.0
152,16,7520,7520,7520.0
153,16,7521,7521,7521.0
154,16,8166,8001,7511.0
155,16,9117,9001,7513.0
161,17,1115,1101,7502.0
162,17,7502,7502,7502.0
165,18,1453,1001,7501.0
166,18,7501,7501,7501.0
195,24,1155,1001,7501.0
196,24,1172,1157,7501.0
197,24,7501,7501,7501.0
203,25,1722,1401,7501.0
204,25,7501,7501,7501.0
207,26,1400,1001,7501.0
208,26,7501,7501,7501.0
211,27,1108,1001,7501.0
212,27,1203,1201,7502.0
213,27,7501,7501,7501.0
214,27,7502,7502,7502.0
220,28,1128,1001,7501.0
221,28,7501,7501,7501.0
239,29,1002,1001,7501.0
240,29,1102,1101,7502.0
241,29,1232,1201,7503.0
242,29,1307,1301,7504.0
243,29,7501,7501,7501.0
244,29,7502,7502,7502.0
245,29,7503,7503,7503.0
246,29,7504,7504,7504.0
258,31,1350,1001,7501.0
259,31,7501,7501,7501.0
260,32,1052,1001,7501.0
261,32,7501,7501,7501.0
264,33,1004,1001,7501.0
265,33,7501,7501,7501.0
286,39,1016,1001,7501.0
287,39,1123,1018,7501.0
288,39,7501,7501,7501.0
292,40,1002,1001,7501.0
293,40,7501,7501,7501.0
297,41,1022,1001,7501.0
298,41,1105,1101,7502.0
299,41,1293,1201,7503.0
300,41,1304,1301,7504.0
301,41,7501,7501,7501.0
302,41,7502,7502,7502.0
303,41,7503,7503,7503.0
304,41,7504,7504,7504.0
314,44,1412,1001,7501.0
315,44,7501,7501,7501.0
319,47,1002,1001,7501.0
320,47,7501,7501,7501.0
338,52,1002,1001,7501.0
339,52,1114,1101,7502.0
340,52,7501,7501,7501.0
341,52,7502,7502,7502.0
355,53,1155,1001,7501.0
356,53,1425,1201,7502.0
357,53,7501,7501,7501.0
358,53,7502,7502,7502.0
362,55,1018,1001,7501.0
363,55,1021,1021,7501.0
364,55,1024,1023,7501.0
365,55,1026,1026,7501.0
366,55,7501,7501,7501.0
373,62,1017,1001,7501.0
374,62,7501,7501,7501.0
403,64,1016,1001,7501.0
404,64,7501,7501,7501.0
416,65,1002,1001,7501.0
417,65,1102,1101,7502.0
418,65,7501,7501,7501.0
419,65,7502,7502,7502.0
431,68,1149,1001,7501.0
432,68,1315,1201,7502.0
433,68,7501,7501,7501.0
434,68,7502,7502,7502.0
444,69,1102,1101,7502.0
445,69,7502,7502,7502.0
449,70,1057,1001,7501.0
450,70,7501,7501,7501.0
452,71,1030,1001,7501.0
453,71,7501,7501,7501.0
465,72,1015,1001,7501.0
466,72,7501,7501,7501.0
477,74,1036,1001,7501.0
478,74,7501,7501,7501.0
489,75,1002,1001,7501.0
490,75,1014,1011,7502.0
491,75,1106,1101,7503.0
492,75,7501,7501,7501.0
493,75,7502,7502,7502.0
494,75,7503,7503,7503.0
502,76,1004,1001,7501.0
503,76,1344,1101,7502.0
504,76,1417,1346,7502.0
505,76,1544,1419,7502.0
506,76,7501,7501,7501.0
507,76,7502,7502,7502.0
528,78,1102,1101,7502.0
529,78,1202,1201,7503.0
530,78,1303,1301,7504.0
531,78,1402,1401,7505.0
532,78,1517,1501,7506.0
533,78,1674,1601,7507.0
534,78,1787,1701,7508.0
535,78,1805,1801,7509.0
536,78,1902,1901,7510.0
537,78,7502,7502,7502.0
538,78,7503,7503,7503.0
539,78,7504,7504,7504.0
540,78,7505,7505,7505.0
541,78,7506,7506,7506.0
542,78,7507,7507,7507.0
543,78,7508,7508,7508.0
544,78,7509,7509,7509.0
545,78,7510,7510,7510.0
556,79,1005,1001,7501.0
557,79,1168,1101,7503.0
558,79,1223,1201,7502.0
559,79,7501,7501,7501.0
560,79,7502,7502,7502.0
561,79,7503,7503,7503.0
565,84,1017,1001,7501.0
566,84,7501,7501,7501.0
592,90,1005,1001,7501.0
593,90,1110,1101,7502.0
594,90,7501,7501,7501.0
595,90,7502,7502,7502.0
600,91,1008,1001,7503.0
601,91,1120,1101,7501.0
602,91,1368,1201,7502.0
603,91,7501,7501,7501.0
604,91,7502,7502,7502.0
605,91,7503,7503,7503.0
621,92,1003,1001,7501.0
622,92,7501,7501,7501.0
631,93,1004,1001,7501.0
632,93,7501,7501,7501.0
639,95,1027,1001,7501.0
640,95,7501,7501,7501.0
676,97,1005,1001,7501.0
677,97,1118,1101,7502.0
678,97,1202,1201,7503.0
679,97,1302,1301,7504.0
